Team Name,Year,Total Home Attendance
Minnesota Twins,1988,3029999
Montreal Expos,1988,1478659
New York Mets,1988,3048530
New York Yankees,1988,2633633
Oakland Athletics,1988,2287446
Philadelphia Phillies,1988,1990042
Pittsburgh Pirates,1988,1865713
San Diego Padres,1988,1508563
San Francisco Giants,1988,1786482
Seattle Mariners,1988,1020354
St. Louis Cardinals,1988,2892089
Texas Rangers,1988,1582084
Toronto Blue Jays,1988,2595275
California Angels,1988,2340905
Atlanta Braves,1989,1034808
Baltimore Orioles,1989,2539245
Boston Red Sox,1989,2512069
Chicago Cubs,1989,2491932
Chicago White Sox,1989,1045646
Cincinnati Reds,1989,1979440
Cleveland Indians,1989,1285635
Detroit Tigers,1989,1543620
Houston Astros,1989,1863215
Kansas City Royals,1989,2475368
Los Angeles Dodgers,1989,2943833
Milwaukee Brewers,1989,1974300
Minnesota Twins,1989,2279508
Montreal Expos,1989,1789073
New York Mets,1989,2916960
New York Yankees,1989,2196200
Oakland Athletics,1989,2671641
Philadelphia Phillies,1989,1861985
Pittsburgh Pirates,1989,1374421
San Diego Padres,1989,2108158
San Francisco Giants,1989,2080296
Seattle Mariners,1989,1295433
St. Louis Cardinals,1989,3099147
Texas Rangers,1989,2042604
Toronto Blue Jays,1989,3376693
California Angels,1989,2644233
Atlanta Braves,1990,1009748
Baltimore Orioles,1990,2420997
Boston Red Sox,1990,2512898
Chicago Cubs,1990,2243394
Chicago White Sox,1990,2002359
Cincinnati Reds,1990,2407563
Cleveland Indians,1990,1228031
Detroit Tigers,1990,1470157
Houston Astros,1990,1313560
Kansas City Royals,1990,2244536
Los Angeles Dodgers,1990,3002950
Milwaukee Brewers,1990,1775008
Minnesota Twins,1990,1754348
Montreal Expos,1990,1421391
New York Mets,1990,2733555
New York Yankees,1990,2006436
Oakland Athletics,1990,2903203
Philadelphia Phillies,1990,1992124
Pittsburgh Pirates,1990,2051806
San Diego Padres,1990,1894172
San Francisco Giants,1990,2001105
Seattle Mariners,1990,1509714
St. Louis Cardinals,1990,2573275
Texas Rangers,1990,2057917
Toronto Blue Jays,1990,3884384
California Angels,1990,2558640
Atlanta Braves,1991,2140217
Baltimore Orioles,1991,2551102
Boston Red Sox,1991,2595356
Chicago Cubs,1991,2311520
Chicago White Sox,1991,2968154
Cincinnati Reds,1991,2372377
Cleveland Indians,1991,1051863
Detroit Tigers,1991,1659472
Houston Astros,1991,1196152
Kansas City Royals,1991,2161527
Los Angeles Dodgers,1991,3346630
Milwaukee Brewers,1991,1478814
Minnesota Twins,1991,2293842
Montreal Expos,1991,978045
New York Mets,1991,2263729
New York Yankees,1991,1863729
Oakland Athletics,1991,2713193
Philadelphia Phillies,1991,2049958
Pittsburgh Pirates,1991,2073028
San Diego Padres,1991,1803929
San Francisco Giants,1991,1737489
Seattle Mariners,1991,2109966
St. Louis Cardinals,1991,2449537
Texas Rangers,1991,2297718
Toronto Blue Jays,1991,4001526
California Angels,1991,2416146
Atlanta Braves,1992,3077400
Baltimore Orioles,1992,3569534
Boston Red Sox,1992,2469489
Chicago Cubs,1992,2126720
Chicago White Sox,1992,2681156
Cincinnati Reds,1992,2315946
Cleveland Indians,1992,1224274
Detroit Tigers,1992,1423963
Houston Astros,1992,1211348
Kansas City Royals,1992,1867689
Los Angeles Dodgers,1992,2473366
Milwaukee Brewers,1992,1857351
Minnesota Twins,1992,2482188
Montreal Expos,1992,1731566
New York Mets,1992,1779534
New York Yankees,1992,1748737
Oakland Athletics,1992,2494160
Philadelphia Phillies,1992,1927448
Pittsburgh Pirates,1992,1834523
San Diego Padres,1992,1721406
San Francisco Giants,1992,1561218
Seattle Mariners,1992,1651367
St. Louis Cardinals,1992,2418483
Texas Rangers,1992,2198231
Toronto Blue Jays,1992,4028318
California Angels,1992,2065434
Atlanta Braves,1993,3879508
Baltimore Orioles,1993,3643768
Boston Red Sox,1993,2422054
Chicago Cubs,1993,2643428
Chicago White Sox,1993,2581061
Cincinnati Reds,1993,2454428
Cleveland Indians,1993,2177908
Colorado Rockies,1993,4483203
Detroit Tigers,1993,1971401
Florida Marlins,1993,3066756
Houston Astros,1993,2081506
Kansas City Royals,1993,1941889
Los Angeles Dodgers,1993,3164720
Milwaukee Brewers,1993,1695077
Minnesota Twins,1993,2054523
Montreal Expos,1993,1641438
New York Mets,1993,1873115
New York Yankees,1993,2416837
Oakland Athletics,1993,2029063
Philadelphia Phillies,1993,3137512
Pittsburgh Pirates,1993,1652922
San Diego Padres,1993,1375432
San Francisco Giants,1993,2604635
Seattle Mariners,1993,2052425
St. Louis Cardinals,1993,2840533
Texas Rangers,1993,2252616
Toronto Blue Jays,1993,4057747
California Angels,1993,2063049
Atlanta Braves,1994,2534240
Baltimore Orioles,1994,2535359
Boston Red Sox,1994,1775541
