Team Name,Home Runs,Year
Baltimore Orioles,257,1996
Boston Red Sox,209,1996
California Angels,192,1996
Chicago Cubs,175,1996
Chicago White Sox,195,1996
Cincinnati Reds,191,1996
Cleveland Indians,218,1996
Colorado Rockies,221,1996
Detroit Tigers,204,1996
Florida Marlins,150,1996
Houston Astros,129,1996
Kansas City Royals,123,1996
Los Angeles Dodgers,150,1996
Milwaukee Brewers,178,1996
Minnesota Twins,118,1996
Montreal Expos,148,1996
New York Mets,147,1996
New York Yankees,162,1996
Oakland Athletics,243,1996
Philadelphia Phillies,132,1996
Pittsburgh Pirates,138,1996
San Diego Padres,147,1996
Seattle Mariners,245,1996
San Francisco Giants,153,1996
St. Louis Cardinals,142,1996
Texas Rangers,221,1996
Toronto Blue Jays,177,1996
Anaheim Angels,161,1997
Atlanta Braves,174,1997
Baltimore Orioles,196,1997
Boston Red Sox,185,1997
Chicago Cubs,127,1997
Chicago White Sox,158,1997
Cincinnati Reds,142,1997
Cleveland Indians,220,1997
Colorado Rockies,239,1997
Detroit Tigers,176,1997
Florida Marlins,136,1997
Houston Astros,133,1997
Kansas City Royals,158,1997
Los Angeles Dodgers,174,1997
Milwaukee Brewers,135,1997
Minnesota Twins,132,1997
Montreal Expos,172,1997
New York Mets,153,1997
New York Yankees,161,1997
Oakland Athletics,197,1997
Philadelphia Phillies,116,1997
Pittsburgh Pirates,129,1997
San Diego Padres,152,1997
Seattle Mariners,264,1997
San Francisco Giants,172,1997
St. Louis Cardinals,144,1997
Texas Rangers,187,1997
Toronto Blue Jays,147,1997
Anaheim Angels,147,1998
Arizona Diamondbacks,159,1998
Atlanta Braves,215,1998
Baltimore Orioles,214,1998
Boston Red Sox,205,1998
Chicago Cubs,212,1998
Chicago White Sox,198,1998
Cincinnati Reds,138,1998
Cleveland Indians,198,1998
Colorado Rockies,183,1998
Detroit Tigers,165,1998
Florida Marlins,114,1998
Houston Astros,166,1998
Kansas City Royals,134,1998
Los Angeles Dodgers,159,1998
Milwaukee Brewers,152,1998
Minnesota Twins,115,1998
Montreal Expos,147,1998
New York Mets,136,1998
New York Yankees,207,1998
Oakland Athletics,149,1998
Philadelphia Phillies,126,1998
Pittsburgh Pirates,107,1998
San Diego Padres,167,1998
Seattle Mariners,234,1998
San Francisco Giants,161,1998
St. Louis Cardinals,223,1998
Tampa Bay Devil Rays,111,1998
Texas Rangers,201,1998
Toronto Blue Jays,221,1998
Anaheim Angels,158,1999
Arizona Diamondbacks,216,1999
Atlanta Braves,197,1999
Baltimore Orioles,203,1999
Boston Red Sox,176,1999
Chicago Cubs,189,1999
Chicago White Sox,162,1999
Cincinnati Reds,209,1999
Cleveland Indians,209,1999
Colorado Rockies,223,1999
Detroit Tigers,212,1999
Florida Marlins,128,1999
Houston Astros,168,1999
Kansas City Royals,151,1999
Los Angeles Dodgers,187,1999
Milwaukee Brewers,165,1999
Minnesota Twins,105,1999
Montreal Expos,163,1999
New York Mets,181,1999
New York Yankees,193,1999
Oakland Athletics,235,1999
Philadelphia Phillies,161,1999
Pittsburgh Pirates,171,1999
San Diego Padres,153,1999
Seattle Mariners,244,1999
San Francisco Giants,188,1999
St. Louis Cardinals,194,1999
Tampa Bay Devil Rays,145,1999
